Sl. No.,Location Name,Charger Capacity(KW),No. of Chargers (Nos),E-Bus Company,Latitude,Longitude
1,Central Works Pappanamcode,90,1,Volvo- Eicher,8.471305089,76.97836906
2,Vikas Bhavan,90,1,Volvo- Eicher,8.50879665,76.94759418
3,Peroorkkada,90,1,PMI,8.534778427,76.96752457
4,Thampanoor Central,90,1,PMI,8.488074692,76.9514555
5,Neyyattinkara,90,1,PMI,8.397939066,77.08813451
6,Nedumangad,90,1,PMI,8.605544804,77.00352215
7,City Garage,120,2,PMI,8.491076683,76.9481979
8,City Garage,90,2,PMI,8.483376466,76.94748072
9,Attingal,90,1,PMI,8.694494802,76.81910787
10,Thampanoor Central,90,1,Volvo- Eicher,8.488074692,76.9514555
11,Staff Training center,90,1,Switch Mobility,8.478077079,76.94850668
12,Thekketheruvu Ground,90,1,Volvo- Eicher,8.480765345,76.94373231
13,City Depot,90,1,Volvo- Eicher,8.491076683,76.9481979
14,Central Works Pappanamcode,120,1,Volvo- Eicher,8.471305089,76.97836906
15,Kaniyapuram,90,1,Volvo- Eicher,8.587924477,76.85956871
16,Vizinjam,90,1,Volvo- Eicher,8.381709099,76.99228938
17,Pappanamcode depot,120,7,Volvo- Eicher,8.470848506,76.98153072
18,District Office Tvpm South,90,1,PMI,8.471850086,76.97976531
19,Kattakkada,90,1,PMI,8.50681447,77.08140218
20,Venjaramoodu,90,1,PMI,8.680476134,76.90926507
21,KSRTC Swift Office,90,1,PMI,8.513103813,76.90036568
