Route id,Route Name,Depot Name,Latitude,Longitude
KrvbkGWg,1A Red,City,8.483614323,76.94819117
kRRljYwx,1C Red,City,8.483614323,76.94819117
ceyrxYzy,2A Blue,City,8.483614323,76.94819117
HhGbDFDa,2C Blue,City,8.483614323,76.94819117
NhhoJAsr,3A Magenta,Peroorkada,8.534646602,76.96789921
pXrJZCnm,3C Magenta,Peroorkada,8.534646602,76.96789921
BDYZZNwd,4A Yellow,Peroorkada,8.534646602,76.96789921
KYyXQOng,4C Yellow,Peroorkada,8.534646602,76.96789921
OTNCMLiG,5A Violet,Peroorkada,8.534646602,76.96789921
HjcpwbJQ,5C Violet,Peroorkada,8.534646602,76.96789921
bhIfxjkO,6A Brown,City,8.483614323,76.94819117
cejmGrmE,6C Brown,City,8.483614323,76.94819117
wfKQKAnT,7A Green,City,8.483614323,76.94819117
DwdjjpCJ,7C Green,City,8.483614323,76.94819117
kjPduide,8A Air Rail,City,8.483614323,76.94819117
RHbhUtup,8C Air Rail,City,8.483614323,76.94819117
HdGWNxyZ,9A Orange,City,8.483614323,76.94819117
YWoCquBJ,9C Orange,City,8.483614323,76.94819117
CbNVHmOv,10A Indigo,Pappanamcode,8.470739349,76.98150624
htTGBNHa,10C Indigo,Pappanamcode,8.470739349,76.98150624
jaRXfbYc,11A Gold,Pappanamcode,8.470739349,76.98150624
MccjxpXC,11C Gold,Pappanamcode,8.470739349,76.98150624
jeljGsPg,12A Olive,Pappanamcode,8.470739349,76.98150624
wjQrkWYE,12C Olive,Pappanamcode,8.470739349,76.98150624
oletOukf,13A Cyan,Pappanamcode,8.470739349,76.98150624
GECOAFKl,13C Cyan,Pappanamcode,8.470739349,76.98150624
