Route id,Route Name,Stop Id,Seq Number,Stop Name,Stop lat,Stop lon,Agency Name,isStage,Stop used in App,Stop used in Etim,Consecutive Distance(m)
ceyrxYzy,2A Blue,leeDbqil,1,East Fort South Bus Stand,8.481837347,76.94740027,KSRTC,Yes,Yes,Yes,0
ceyrxYzy,2A Blue,TotmgOIU,2,East Fort North Bus Stand,8.483808407,76.94754913,KSRTC,No,Yes,Yes,219
ceyrxYzy,2A Blue,pMpOGtHk,3,Thampanoor KTDC Chaithram,8.487971589,76.94988813,KSRTC,No,Yes,Yes,529
ceyrxYzy,2A Blue,OAEOpFGZ,4,Thampanoor Main Bus Stand,8.487827637,76.95158019,KSRTC,No,Yes,Yes,186
ceyrxYzy,2A Blue,jqLODqJN,5,Aristo,8.489290098,76.95382465,KSRTC,No,Yes,Yes,295
ceyrxYzy,2A Blue,XwqXdvMT,6,Model School Thycaud,8.494216858,76.95390872,KSRTC,Yes,Yes,Yes,547
ceyrxYzy,2A Blue,fbpbHmqK,7,Panavila,8.497750674,76.95490661,KSRTC,No,Yes,Yes,407
ceyrxYzy,2A Blue,RTZHqmBU,8,Bakery Junction,8.500589766,76.95398941,KSRTC,No,Yes,Yes,331
ceyrxYzy,2A Blue,JEHbLvfl,9,Vazhuthacaud,8.500493037,76.95958558,KSRTC,No,Yes,Yes,615
ceyrxYzy,2A Blue,szUnnJhU,10,DPI Junction,8.496089175,76.96210999,KSRTC,No,Yes,Yes,562
ceyrxYzy,2A Blue,kxxLbSdt,11,Jagathy,8.494819896,76.96448055,KSRTC,Yes,Yes,Yes,296
ceyrxYzy,2A Blue,ReADIyeR,12,Edapazhanji Pangode Fish Market,8.50407082,76.96883923,KSRTC,No,Yes,Yes,1134
ceyrxYzy,2A Blue,SQALAdQW,13,Alakapuri Convention Centre,8.507634224,76.9704857,KSRTC,No,Yes,Yes,435
ceyrxYzy,2A Blue,oIMluGHd,14,Kochar Road,8.512285272,76.97659506,KSRTC,No,Yes,Yes,847
ceyrxYzy,2A Blue,jUifMkUJ,15,Maruthankuzhi,8.514017436,76.97727879,KSRTC,Yes,Yes,Yes,206
ceyrxYzy,2A Blue,uyawOLmD,16,Sri Ramakrishna Hospital,8.513313063,76.97329135,KSRTC,No,Yes,Yes,445
ceyrxYzy,2A Blue,tjALOGme,17,Sasthamangalam Judge Lane,8.511573004,76.96757568,KSRTC,No,Yes,Yes,657
ceyrxYzy,2A Blue,ooVnghkL,18,Vellayambalam,8.510870949,76.96151542,KSRTC,Yes,Yes,Yes,671
ceyrxYzy,2A Blue,fmifgIoI,19,Kanakakunnu,8.509314463,76.95758858,KSRTC,No,Yes,Yes,465
ceyrxYzy,2A Blue,LwKYHhkr,20,Museum Public Office Complex,8.508083,76.95532,KSRTC,No,Yes,Yes,284
ceyrxYzy,2A Blue,cbRSKSLu,21,Palayam Fine Arts College,8.505101646,76.95150915,KSRTC,Yes,Yes,Yes,534
ceyrxYzy,2A Blue,SNpenkdA,22,Palayam Saphalyam,8.502484833,76.95027772,KSRTC,No,Yes,Yes,320
ceyrxYzy,2A Blue,DKkpzmGs,23,VJT Hall,8.50267911,76.94937318,KSRTC,No,Yes,Yes,101
